"THEME_ID","THEME_NAME","THEME_PARENT_ID"
1,"TECHNIC",
2,"ARCTIC TECHNIC",1
3,"COMPETITION",1
4,"EXPERT BUILDER",1
5,"MODEL",1
6,"AIRPORT",5
7,"CONSTRUCTION",5
8,"FARM",5
9,"FIRE",5
10,"HARBOR",5
11,"OFF-ROAD",5
12,"RACE",5
13,"RIDING CYCLE",5
14,"ROBOT",5
15,"TRAFFIC",5
16,"ROBORIDERS",1
17,"SPEED SLAMMERS",1
18,"STAR WARS",1
19,"SUPPLEMENTAL",1
20,"THROWBOT SLIZER",1
21,"UNIVERSAL BUILDING SET",1
22,"CREATOR",
23,"BASIC MODEL",22
24,"AIRPORT",23
25,"CASTLE",23
26,"CONSTRUCTION",23
27,"RACE",23
28,"HARBOR",23
29,"TRAIN",23
30,"TRAFFIC",23
31,"CREATURE",23
32,"ROBOT",23
33,"FOOD & DRINK",23
34,"BUILDING",23
35,"CARGO",23
36,"FIRE",23
37,"BASIC SET",22
38,"MODEL",22
39,"TRAFFIC",38
40,"CREATURE",38
41,"RIDING CYCLE",38
42,"AIRPORT",38
43,"BUILDING",38
44,"RECREATION",38
45,"CARGO",38
46,"HARBOR",38
47,"FIRE",38
48,"SUPPLEMENTAL",22
49,"MECHA",22
50,"TOWN",
51,"ARCTIC",50
52,"CITY",50
53,"AIRPORT",52
54,"CARGO",52
55,"COAST GUARD",52
56,"CONSTRUCTION",52
57,"FARM",52
58,"FIRE",52
59,"HARBOR",52
60,"HOSPITAL",52
61,"POLICE",52
62,"SUPPLEMENTAL",52
63,"TRAFFIC",52
64,"OFF-ROAD",52
65,"ARCTIC",52
66,"TRAINS",52
67,"CLASSIC TOWN",50
68,"AIRPORT",67
69,"BUILDING",67
70,"CARGO",67
71,"COAST GUARD",67
72,"CONSTRUCTION",67
73,"FARM",67
74,"FIRE",67
75,"FOOD & DRINK",67
76,"STATION",67
77,"HARBOR",67
78,"HOSPITAL",67
79,"OFF-ROAD",67
80,"POLICE",67
81,"POST OFFICE",67
82,"RACE",67
83,"RECREATION",67
84,"SUPPLEMENTAL",67
85,"TRAFFIC",67
86,"DIVERS",50
87,"EXTREME TEAM",50
88,"LAUNCH COMMAND",50
89,"OUTBACK",50
90,"PARADISA",50
91,"RACE",50
92,"RES-Q",50
93,"SPACE PORT",50
94,"TOWN JR.",50
95,"CARGO",94
96,"COAST GUARD",94
97,"CONSTRUCTION",94
98,"FIRE",94
99,"GAS STATION",94
100,"POLICE",94
101,"RACE",94
102,"SUPPLEMENTAL",94
103,"TRAFFIC",94
104,"TOWN PLAN",50
105,"WORLD CITY",50
106,"AIRPORT",105
107,"COAST GUARD",105
108,"FIRE",105
109,"FOOD & DRINK",105
110,"HARBOR",105
111,"POLICE",105
112,"RACERS",
113,"DROME RACERS",112
114,"FERRARI",112
115,"LAMBORGHINI",112
116,"POWER RACERS",112
117,"RADIO CONTROL",112
118,"SPEED RACER",112
119,"SUPPLEMENTAL",112
120,"TINY TURBOS",112
121,"TRACK SYSTEM",112
122,"WILLIAMS F1",112
123,"WORLD RACERS",112
124,"SUPPLEMENTAL",123
125,"XALAX",112
126,"SPACE",
127,"ALIEN CONQUEST",126
128,"BLACKTRON I",126
129,"BLACKTRON II",126
130,"CLASSIC SPACE",126
131,"EXPLORIENS",126
132,"FUTURON",126
133,"ICE PLANET 2002",126
134,"INSECTOIDS",126
135,"LIFE ON MARS",126
136,"M:TRON",126
137,"MARS MISSION",126
138,"ROBOFORCE",126
139,"SPACE POLICE I",126
140,"SPACE POLICE II",126
141,"SPACE POLICE III",126
142,"SPYRIUS",126
143,"SUPPLEMENTAL",126
144,"UFO",126
145,"UNITRON",126
146,"GALAXY SQUAD",126
147,"PIRATES",
148,"PIRATES I",147
149,"IMPERIAL ARMADA",148
150,"IMPERIAL GUARDS",148
151,"IMPERIAL SOLDIERS",148
152,"ISLANDERS",148
153,"PIRATES II",147
154,"PIRATES III",147
155,"MODULAR BUILDINGS",
156,"MINI",155
157,"BRICKTOBER",155
158,"STAR WARS",
159,"MINI",158
160,"STAR WARS CLONE WARS",159
161,"STAR WARS EPISODE 2",159
162,"STAR WARS EPISODE 3",159
163,"STAR WARS EPISODE 4/5/6",159
164,"STAR WARS EPISODE 1",159
165,"STAR WARS CLONE WARS",158
166,"STAR WARS EPISODE 1",158
167,"STAR WARS EPISODE 2",158
168,"STAR WARS EPISODE 3",158
169,"STAR WARS EPISODE 4/5/6",158
170,"STAR WARS OTHER",158
171,"ULTIMATE COLLECTOR SERIES",158
172,"STAR WARS EPISODE 1",171
173,"STAR WARS EPISODE 3",171
174,"STAR WARS EPISODE 4/5/6",171
175,"STAR WARS EPISODE 2",171
176,"PLANET SERIES 1",158
177,"PLANET SERIES 2",158
178,"MINIFIG PACK",158
179,"PLANET SERIES 3",158
180,"PLANET SERIES 4",158
181,"STAR WARS EPISODE 4/5/6",180
182,"STAR WARS REBELS",158
183,"STAR WARS EXPANDED UNIVERSE",158
184,"STAR WARS EPISODE 7",158
185,"STAR WARS ROGUE ONE",158
186,"CASTLE",
187,"BLACK FALCONS",186
188,"BLACK KNIGHTS",186
189,"CLASSIC CASTLE",186
190,"CRUSADERS",186
191,"DARK FOREST",186
192,"DRAGON KNIGHTS",186
193,"FANTASY ERA",186
194,"FORESTMEN",186
195,"FRIGHT KNIGHTS",186
196,"KINGDOMS",186
197,"KNIGHTS KINGDOM I",186
198,"KNIGHTS KINGDOM II",186
199,"LION KNIGHTS",186
200,"MY OWN CREATION",186
201,"ROYAL KNIGHTS",186
202,"SUPPLEMENTAL",186
203,"WOLFPACK",186
204,"DESIGNER SETS",
205,"BUILDING",204
206,"SEASONAL",
207,"ADVENT",206
208,"CITY",207
209,"STAR WARS",207
210,"BELVILLE",207
211,"CASTLE",207
212,"CLASSIC BASIC",207
213,"CLIKITS",207
214,"CREATOR",207
215,"PIRATES",207
216,"FRIENDS",207
217,"ADVENT SUB-SET",206
218,"BELVILLE",217
219,"CASTLE",217
220,"CITY",217
221,"CLASSIC BASIC",217
222,"CLIKITS",217
223,"CREATOR",217
224,"PIRATES",217
225,"STAR WARS",217
226,"FRIENDS",217
227,"CHRISTMAS",206
228,"CREATOR",227
229,"EASTER",206
230,"HALLOWEEN",206
231,"THANKSGIVING",206
232,"VALENTINE",206
233,"TRAIN",
234,"12V",233
235,"4.5V",233
236,"9V",233
237,"MY OWN CREATION",236
238,"MY OWN TRAIN",236
239,"WORLD CITY",236
240,"RC TRAIN",233
241,"SUPPLEMENTAL",233
242,"12V",241
243,"4.5V",241
244,"9V",241
245,"RC TRAIN",241
246,"HARRY POTTER",
247,"CHAMBER OF SECRETS",246
248,"GOBLET OF FIRE",246
249,"ORDER OF THE PHOENIX",246
250,"PRISONER OF AZKABAN",246
251,"SORCERER'S STONE",246
252,"ARCHITECTURE",
253,"SKYLINES",252
254,"BULK BRICKS",
255,"CASTLE",254
256,"TECHNIC",254
257,"TRAIN",254
258,"MINDSTORMS",
259,"NXT",258
260,"RCX",258
261,"STAR WARS",258
262,"EV3",258
263,"PIRATES OF THE CARIBBEAN",
264,"INDIANA JONES",
265,"KINGDOM OF THE CRYSTAL SKULL",264
266,"LAST CRUSADE",264
267,"RAIDERS OF THE LOST ARK",264
268,"TEMPLE OF DOOM",264
269,"CARS",
270,"BEN 10",
271,"PRINCE OF PERSIA",
272,"SPONGEBOB SQUAREPANTS",
273,"STUDIOS",
274,"JURASSIC PARK III",273
275,"TOY STORY",
276,"SCULPTURES",
277,"MOSAIC",276
278,"MODEL TEAM",
279,"4 JUNIORS",
280,"JACK STONE",279
281,"POLICE",280
282,"AIRPORT",280
283,"FIRE",280
284,"TRAFFIC",280
285,"GAS STATION",280
286,"PIRATES",279
287,"SPIDER-MAN",279
288,"SPIDER-MAN 2",287
289,"SUPPLEMENTAL",279
290,"TOWN",279
291,"POLICE",290
292,"TRAFFIC",290
293,"CONSTRUCTION",290
294,"GAS STATION",290
295,"FIRE",290
296,"ADVENTURERS",
297,"DESERT",296
298,"DINO ISLAND",296
299,"JUNGLE",296
300,"ORIENT EXPEDITION",296
301,"OTHER",
302,"AGENTS",
303,"ULTRA AGENTS",302
304,"ALPHA TEAM",
305,"MISSION DEEP SEA",304
306,"MISSION DEEP FREEZE",304
307,"AQUAZONE",
308,"AQUANAUTS",307
309,"AQUARAIDERS I",307
310,"AQUARAIDERS II",307
311,"AQUASHARKS",307
312,"HYDRONAUTS",307
313,"STINGRAYS",307
314,"SUPPLEMENTAL",307
315,"ATLANTIS",
316,"MINI",315
317,"AVATAR",
318,"BELVILLE",
319,"FAIRY-TALE",318
320,"GOLDEN LAND",318
321,"HOSPITAL",318
322,"PLAYHOUSE",318
323,"RECREATION",318
324,"BIONICLE",
325,"AGORI",324
326,"BARRAKI",324
327,"BATTLE VEHICLES",324
328,"BOHROK",324
329,"BOHROK VA",324
330,"BOHROK-KAL",324
331,"GLATORIAN",324
332,"GLATORIAN LEGENDS",324
333,"MATORAN OF LIGHT",324
334,"MATORAN OF MAHRI NUI",324
335,"MATORAN OF MATA NUI",324
336,"MATORAN OF METRU NUI",324
337,"MATORAN OF VOYA NUI",324
338,"MISTIKA",324
339,"PHANTOKA",324
340,"PIRAKA",324
341,"PLAYSETS",324
342,"RAHAGA",324
343,"RAHI",324
344,"RAHKSHI",324
345,"STARS",324
346,"SUPPLEMENTAL",324
347,"TITANS",324
348,"TOA",324
349,"TOA HAGAH",324
350,"TOA HORDIKA",324
351,"TOA INIKA",324
352,"TOA MAHRI",324
353,"TOA METRU",324
354,"TOA NUVA",324
355,"TOHUNGA",324
356,"TURAGA",324
357,"VAHKI",324
358,"VISORAK",324
359,"WARRIORS",324
360,"PROTECTORS",324
361,"SKULL SPIDERS",324
362,"TOA OKOTO",324
363,"BOAT",
364,"BUILDING SET WITH PEOPLE",
365,"CLASSIC",
366,"BASIC SET",365
367,"BUILDING",365
368,"HO 1:87 VEHICLES",365
369,"JUMBO BRICKS",365
370,"MOSAIC",365
371,"SUPPLEMENTAL",365
372,"TOWN PLAN",365
373,"VEHICLE",365
374,"AIRPORT",373
375,"FARM",373
376,"FIRE",373
377,"HARBOR",373
378,"TRAFFIC",373
379,"SUPPLEMENTAL",373
380,"TRAIN",373
381,"CONSTRUCTION",373
382,"CARGO",373
383,"WOODEN BOX SET",365
384,"DINO 2010",
385,"DINO ATTACK",
386,"DINOSAURS",
387,"DISCOVERY",
388,"DISNEY'S MICKEY MOUSE",
389,"EXO-FORCE",
390,"FABULAND",
391,"HOSPITAL",390
392,"POST OFFICE",390
393,"HARBOR",390
394,"AIRPORT",390
395,"FIRE",390
396,"POLICE",390
397,"FACTORY",
398,"FIRST LEGO LEAGUE",
399,"FREESTYLE",
400,"HERO FACTORY",
401,"HEROES",400
402,"VEHICLES",400
403,"VILLAINS",400
404,"HOBBY SETS",
405,"HOMEMAKER",
406,"INVENTOR",
407,"ISLAND XTREME STUNTS",
408,"LEGO BRAND STORE",
409,"MONTHLY MINI MODEL BUILD",408
410,"PICK A MODEL",408
411,"LEGOLAND",
412,"AIRPORT",411
413,"BUILDING",411
414,"CASTLE",411
415,"COAST GUARD",411
416,"CONSTRUCTION",411
417,"FIRE",411
418,"GAS STATION",411
419,"HARBOR",411
420,"HOSPITAL",411
421,"POLICE",411
422,"SPACE",411
423,"VEHICLE",411
424,"WESTERN",411
425,"LEGOLAND PARKS",
426,"BIONICLE",425
427,"HOLIDAY",425
428,"CHRISTMAS",425
429,"HALLOWEEN",425
430,"PIRATES",425
431,"STAR WARS",425
432,"MASTER BUILDING ACADEMY",
433,"MINITALIA",
434,"NINJA",
435,"NINJAGO",
436,"AIRJITZU",435
437,"PHARAOH'S QUEST",
438,"POWER FUNCTIONS",
439,"POWER MINERS",
440,"PRIMO",
441,"QUATRO",
442,"ROCK RAIDERS",
443,"SERVICE PACKS",
444,"ADVENTURERS",443
445,"AQUAZONE",443
446,"BELVILLE",443
447,"CASTLE",443
448,"FABULAND",443
449,"PIRATES",443
450,"PRIMO",443
451,"SCALA",443
452,"SPACE",443
453,"TECHNIC",443
454,"TOWN",443
455,"CLASSIC TOWN",454
456,"TRAIN",443
457,"WESTERNÂ ",443
458,"SPORTS",
459,"BASKETBALL",458
460,"GRAVITY GAMES",458
461,"HOCKEY",458
462,"SOCCER",458
463,"SPYBIOTICS",
464,"TIME CRUISERS",
465,"UNIVERSAL BUILDING SET",
466,"AIRPORT",465
467,"BASIC",465
468,"BASIC MODEL",465
469,"BASIC SET",465
470,"CLASSIC BASIC",465
471,"FERRIES",465
472,"GEARS",465
473,"SUPPLEMENTAL",465
474,"VIKINGS",
475,"WESTERN",
476,"COWBOYS",475
477,"INDIANS",475
478,"X-POD",
479,"CREATOR",478
480,"ZNAP",
481,"DINO",
482,"SUPER HEROES",
483,"GUARDIANS OF THE GALAXY",482
484,"BATMAN",482
485,"ULTIMATE COLLECTOR SERIES",484
486,"JUSTICE LEAGUE",482
487,"AVENGERS",482
488,"SPIDER-MAN",482
489,"SUPERMAN",482
490,"IRON MAN",482
491,"X-MEN",482
492,"CONSTRACTION",482
493,"MARVEL",482
494,"FRIENDS",
495,"JUNGLE RESCUE",494
496,"ANIMALS",494
497,"BOOKS",
498,"TECHNIC",497
499,"TRAIN",497
500,"CLIKITS",
501,"GEAR",
502,"GAME",501
503,"KEY CHAIN",501
504,"DUPLO",
505,"BASIC SET",504
506,"CARS",504
507,"EDUCATIONAL AND DACTA",
508,"4 JUNIORS",507
509,"ADVENTURERS",507
510,"BOAT",507
511,"BUILDING SET WITH PEOPLE",507
512,"CASTLE",507
513,"CLASSIC",507
514,"CREATOR",507
515,"DINOSAURS",507
516,"EXPLORE",507
517,"LEARNING",507
518,"MINDSTORMS",507
519,"NXT",518
520,"RCX",518
521,"WEDO",518
522,"PRIMO",507
523,"SAMSONITE",507
524,"SERVICE PACKS",507
525,"TECHNIC",524
526,"SOFT BRICKS",507
527,"SPACE",507
528,"SUPPLEMENTAL",507
529,"TECHNIC",507
530,"CONTROL LAB",529
531,"ELAB",529
532,"SUPPLEMENTAL",529
533,"TOWN",507
534,"UNIVERSAL BUILDING SET",507
535,"COLLECTIBLE MINIFIGURES",
536,"SERIES 1 MINIFIGURES",535
537,"SERIES 2 MINIFIGURES",535
538,"SERIES 3 MINIFIGURES",535
539,"SERIES 4 MINIFIGURES",535
540,"SERIES 5 MINIFIGURES",535
541,"SERIES 6 MINIFIGURES",535
542,"SERIES 7 MINIFIGURES",535
543,"SERIES 8 MINIFIGURES",535
544,"SERIES 9 MINIFIGURES",535
545,"SERIES 10 MINIFIGURES",535
546,"TEAM GB",535
547,"SERIES 11 MINIFIGURES",535
548,"SERIES 12 MINIFIGURES",535
549,"THE LEGO MOVIE SERIES",535
550,"THE SIMPSONS",535
551,"SERIES 13 MINIFIGURES",535
552,"SERIES 14 MINIFIGURES",535
553,"THE SIMPSONS SERIES 2",535
554,"SERIES 15 MINIFIGURES",535
555,"DISNEY",535
556,"SERIES 16 MINIFIGURES",535
557,"DFB MINIFIGURES",535
558,"MONSTER FIGHTERS",
559,"VALUE PACKS",
560,"UNIVERSE",
561,"THE HOBBIT AND LORD OF THE RINGS",
562,"THE HOBBIT",561
563,"AN UNEXPECTED JOURNEY",562
564,"THE DESOLATION OF SMAUG",562
565,"THE BATTLE OF THE FIVE ARMIES",562
566,"THE LORD OF THE RINGS",561
567,"THE FELLOWSHIP OF THE RING",566
568,"THE TWO TOWERS",566
569,"THE RETURN OF THE KING",566
570,"TEENAGE MUTANT NINJA TURTLES",
571,"LEGENDS OF CHIMA",
572,"SPEEDORZ",571
573,"CONSTRACTION",571
574,"LEGEND BEASTS",571
575,"THE LONE RANGER",
576,"LEGO IDEAS AND CUUSOO",
577,"MINECRAFT",
578,"THE LEGO MOVIE",
579,"DISNEY PRINCESS",
580,"MIXELS",
581,"SERIES 1",580
582,"SERIES 2",580
583,"SERIES 3",580
584,"SERIES 4",580
585,"SERIES 5",580
586,"SERIES 6",580
587,"SERIES 7",580
588,"SERIES 8",580
589,"SERIES 9",580
590,"FUSION",
591,"JUNIORS",
592,"DC COMICS SUPER HEROES",591
593,"DISNEY PRINCESS",591
594,"FANTASY",591
595,"FRIENDS",591
596,"MARVEL SUPER HEROES",591
597,"NIJAGO",591
598,"PROMOTIONAL",
599,"LEGO EXCLUSIVE",
600,"ELVES",
601,"SPEED CHAMPIONS",
602,"JURASSIC WORLD",
603,"SCOOBY-DOO",
604,"DIMENSIONS",
605,"NEXO KNIGHTS",
606,"ANGRY BIRDS",
607,"GHOSTBUSTERS",
608,"DISNEY",
609,"THE LEGO BATMAN MOVIE",535
610,"BRICKHEADZ",
611,"SERIES 17 MINIFIGURES",535
612,"STAR WARS EPISODE 8",158
613,"FREEMAKERS",158
614,"JUNGLE",52
